Temperature,Vibration,Pressure,Humidity,SoundLevel,OperatingHours,LastMaintenanceDays,MachineStatus
79.96714153011233,7.099033154879003,26.62410862512809,69.12441376904304,71.44850194216866,8904,285,Needs_Maintenance
73.61735698828815,6.386950524369153,29.27740664642241,79.01403239081978,80.42622429852851,695,274,Healthy
81.47688538100692,5.089445554880261,26.037900395000193,35.580250337024836,74.68932640314226,7975,20,Healthy
90.23029856408026,4.029594833441639,28.4601923518048,78.18341796787863,66.70068945426816,9133,239,Needs_Maintenance
72.65846625276664,6.047334970420385,20.531926665231072,45.87403218749347,72.05759176284742,4539,270,Healthy
72.6586304305082,5.590228078132625,31.066468536864694,40.85112771882528,68.0746786037583,6072,310,Healthy
90.79212815507391,6.342789830041598,30.006027376811122,23.020971618161195,70.06304147755783,958,31,Needs_Maintenance
82.67434729152909,5.9527577025229546,25.914556844659046,23.165915471576156,67.39511158281198,5619,314,Healthy
70.30525614065049,6.574329072979003,33.296228342162024,61.52067535679928,68.68531835291687,7485,104,Healthy
80.42560043585965,4.1971471826591475,34.68785068813279,47.475739666041676,71.6967468245934,8736,170,Healthy
70.36582307187538,6.976091098451489,21.962200678155128,33.591297562166346,62.0531304033444,4417,186,Needs_Maintenance
70.34270246429743,5.296399407038599,26.18637610716893,56.83821837951396,61.87296938408017,3554,128,Healthy
77.41962271566034,8.112891308937899,26.15428825106351,35.17148709500667,58.89165956935031,1130,210,Healthy
55.86719755342202,3.9662182728656483,25.300484494455677,54.65790526066536,57.19783116397032,9587,281,Healthy
57.75082167486967,7.603945704747874,34.14737420965874,41.552524818961416,60.26173846223617,8006,253,Needs_Maintenance
69.37712470759027,5.296866175193972,29.030869306135983,69.41313359670914,71.27570005443303,1547,19,Healthy
64.87168879665576,4.022872994578328,28.677425793446947,69.24176964600676,62.85769987606493,2950,200,Healthy
78.14247332595274,4.274171248918518,19.980688177966233,48.641023887344076,74.10891571384877,8206,220,Needs_Maintenance
65.91975924478788,4.519479037708519,33.17709015104613,41.04914656010094,70.2777099900205,7251,136,Healthy
60.87696298664709,5.636248919602875,23.80370802573264,41.75358779354568,54.25196629249557,9603,223,Needs_Maintenance
89.65648768921554,5.784253232053249,30.299663151331643,68.34287154009307,75.23980467377352,7052,3,Healthy
72.74223699513465,4.139449994092131,31.386884689790957,39.69076896785672,76.48638916473368,4155,236,Healthy
75.67528204687923,4.963468111608526,36.80329297919326,32.54356242241076,62.04909860132118,5502,342,Healthy
60.75251813786544,8.213405537917795,23.45589800440444,25.08130051251841,73.36153234315994,9381,228,Needs_Maintenance
69.55617275474818,7.591314755151068,14.902439220895873,48.0015872530645,63.14801410072641,1772,142,Healthy
76.10922589709867,5.654485504511048,30.919247723768475,48.927925935190515,70.78136301398668,4632,9,Healthy
63.490064225776976,5.057005217252301,39.00255590755427,70.45452262417443,59.88401274436028,5024,190,Healthy
78.75698018345672,5.1800469900773916,36.19473176469719,33.274321786763835,55.655148379723386,6185,350,Healthy
68.99361310081196,5.9202769590956255,31.048297076373128,42.859476420103995,66.93746248309625,7834,165,Healthy
72.08306250206724,3.4658111522023916,27.541819071839765,68.50434433362145,69.01016842980131,4964,139,Healthy
68.98293387770603,4.613935193864982,34.03561298318655,69.41741664493841,66.81856245108317,9416,276,Healthy
93.52278184508938,2.497123889183616,25.132269001477656,43.076664558726094,60.52775553421952,1321,291,Healthy
74.86502775262066,5.598834683907919,32.3817888467811,47.547441397200856,66.8008075029509,2960,53,Healthy
64.422890710441,5.970793909554112,32.52735079583314,38.197153450956975,72.15435802064587,8528,175,Healthy
83.22544912103189,4.275220306550939,35.3010495374944,75.95329270515873,69.6408557590197,9436,110,Healthy
62.791563500289776,7.360980144935049,43.79830019455539,27.118625944494816,71.46000824479371,3353,203,Healthy
77.08863595004756,3.161351505496488,31.962079835893835,76.0249653800882,64.63907839636613,3882,136,Healthy
55.403298761202244,2.8034376796852696,27.455181871462507,61.031987110120596,79.37374331772928,7057,4,Healthy
61.71813951101569,5.336677727839958,29.87212843904003,51.89432916120387,60.59061330756175,866,155,Healthy
76.96861235869123,6.570647453918232,21.15462047555441,21.95954364706975,73.90048237669374,2781,172,Healthy
82.3846657999541,7.525891537186803,26.52643434455471,48.5357715093205,79.4551287436797,7810,358,Healthy
76.7136828118997,4.31167360569659,27.95358780943448,44.46488630016394,73.84726474199117,7582,47,Healthy
73.8435171761176,6.618021250146944,27.379558010327038,29.673128718507353,68.37980618348136,5186,94,Healthy
71.98896304410711,4.9422372957489396,30.76177436016861,59.38457621003941,65.77362362669616,8064,48,Healthy
60.214780096325725,4.74105905008877,25.887900338088997,78.26905444209714,78.28870120837004,2765,240,Healthy
67.80155791605291,6.3254899062300085,35.60515333662236,53.73132866387151,58.61620059790661,3613,347,Healthy
70.39361229040213,5.978484317620129,30.001035324590987,62.88519658663675,62.23900591696285,595,213,Healthy
85.57122226218915,2.635411764523626,29.953498394306926,24.107027153961006,66.81953787606624,5922,340,Healthy
78.43618289568461,7.214810524588843,28.36052641743541,45.06001974901969,79.90123006009598,2172,324,Healthy
